signal_id,signal_ref,status,claimed_by,solution_ref,notes,timestamp
1tdusvx,SIGNAL-001,deployed,SidharthKriplani,rag-eval-starter,First solution sprint. Live on HuggingFace Spaces.,2026-05-16T18:00:00
1t4dkew,SIGNAL-002,open,,,Paper reproduction gap auditor.,2026-05-16T19:00:00
1t4dkew,SIGNAL-002,deployed,SidharthKriplani,paper-repro-auditor,Zero-dependency CLI. Ranks reproduction risk factors across 10 dimensions.,2026-05-17T12:00:00
1t5anla,SIGNAL-003,open,,,BibTeX citation hallucination auditor.,2026-05-16T19:00:00
1t5anla,SIGNAL-003,superseded,,,"Gap closed. BibTeX Verifier (browser), RefChecker, CheckIfExist all fully solve this with zero setup.",2026-05-17T10:00:00
1tdb4ic,SIGNAL-004,open,,,Quantization Pareto evaluator. See inferencelens.,2026-05-16T19:00:00
1tde3m1,SIGNAL-005,open,,,Fine-tuning failure-mode extractor.,2026-05-16T19:00:00
1tde3m1,SIGNAL-005,deployed,SidharthKriplani,finetune-failure-extractor,Zero-dependency CLI. Classifies errors into 7 failure types. Outputs ranked training data manifest.,2026-05-17T12:00:00
1ten61r,SIGNAL-006,open,,,README vs CI config diff checker.,2026-05-16T19:00:00
1tdyf75,SIGNAL-007,open,,,Local LLM hardware fit calculator.,2026-05-16T19:00:00
1tdyf75,SIGNAL-007,superseded,,,"Gap closed. LLMfit.io covers 497 models with tokens/sec estimates. LocalLLM.in within 5% accuracy. Zero setup.",2026-05-17T10:00:00
